model,family,type,mount_style,load_min_kg,load_max_kg,natural_freq_hz,stiffness_n_mm,static_deflection_mm,height_mm,dia_mm,length_mm,width_mm,thread,material,hardness_shore,temp_min_c,temp_max_c,hsn,gst_rate,uom,price_inr,lead_time_days,status,image,ga_pdf,source,note
AT-BE3,Rubber BE shock absorber,"rubber mount, anti-shedding (E/EA interchangeable)",,,3.1,10±1.5,12.1,,40,36,70,,,Natural rubber / steel,,-30,80,40169990,18,NOS,500,21,reference,img/mounts/BE.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.64-65; nominal load Z forward (pedestal)=30 N, Z backward (hanging)=20 N, Y=40 N, X=15 N; dynamic stiffness Z fwd/"
AT-BE5,Rubber BE shock absorber,"rubber mount, anti-shedding (E/EA interchangeable)",,,5.1,10±1.5,20,,40,36,70,,,Natural rubber / steel,,-30,80,40169990,18,NOS,500,21,reference,img/mounts/BE.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.64-65; nominal load Z forward (pedestal)=50 N, Z backward (hanging)=35 N, Y=60 N, X=25 N; dynamic stiffness Z fwd/"
AT-BE10,Rubber BE shock absorber,"rubber mount, anti-shedding (E/EA interchangeable)",,,10.2,10±1.5,40,,40,36,70,,,Natural rubber / steel,,-30,80,40169990,18,NOS,500,21,reference,img/mounts/BE.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.64-65; nominal load Z forward (pedestal)=100 N, Z backward (hanging)=70 N, Y=120 N, X=50 N; dynamic stiffness Z fw"
AT-BE15,Rubber BE shock absorber,"rubber mount, anti-shedding (E/EA interchangeable)",,,15.3,10±1.5,60,,40,36,70,,,Natural rubber / steel,,-30,80,40169990,18,NOS,500,21,reference,img/mounts/BE.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.64-65; nominal load Z forward (pedestal)=150 N, Z backward (hanging)=100 N, Y=170 N, X=70 N; dynamic stiffness Z f"
AT-BE25,Rubber BE shock absorber,"rubber mount, anti-shedding (E/EA interchangeable)",,,25.5,10±1.5,100,,40,40,70,,,Natural rubber / steel,,-30,80,40169990,18,NOS,500,21,reference,img/mounts/BE.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.64-65; nominal load Z forward (pedestal)=250 N, Z backward (hanging)=170 N, Y=300 N, X=150 N; dynamic stiffness Z "
AT-BE40,Rubber BE shock absorber,"rubber mount, anti-shedding (E/EA interchangeable)",,,40.8,10±1.5,161,,46,55,85,,,Natural rubber / steel,,-30,80,40169990,18,NOS,550,21,reference,img/mounts/BE.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.64-65; nominal load Z forward (pedestal)=400 N, Z backward (hanging)=280 N, Y=450 N, X=200 N; dynamic stiffness Z "
AT-BE60,Rubber BE shock absorber,"rubber mount, anti-shedding (E/EA interchangeable)",,,61.2,10±1.5,242,,50,65,100,,,Natural rubber / steel,,-30,80,40169990,18,NOS,600,21,reference,img/mounts/BE.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.64-65; nominal load Z forward (pedestal)=600 N, Z backward (hanging)=400 N, Y=700 N, X=300 N; dynamic stiffness Z "
AT-BE85,Rubber BE shock absorber,"rubber mount, anti-shedding (E/EA interchangeable)",,,86.6,10±1.5,342,,60,70,120,,,Natural rubber / steel,,-30,80,40169990,18,NOS,700,21,reference,img/mounts/BE.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.64-65; nominal load Z forward (pedestal)=850 N, Z backward (hanging)=600 N, Y=1000 N, X=400 N; dynamic stiffness Z"
AT-BE120,Rubber BE shock absorber,"rubber mount, anti-shedding (E/EA interchangeable)",,,122.3,10±1.5,483,,60,85,140,,,Natural rubber / steel,,-30,80,40169990,18,NOS,1050,21,reference,img/mounts/BE.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.64-65; nominal load Z forward (pedestal)=1200 N, Z backward (hanging)=800 N, Y=1350 N, X=600 N; dynamic stiffness "
AT-BE160,Rubber BE shock absorber,"rubber mount, anti-shedding (E/EA interchangeable)",,,163.1,10±1.5,644,,62,90,145,,,Natural rubber / steel,,-30,80,40169990,18,NOS,1100,21,reference,img/mounts/BE.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.64-65; nominal load Z forward (pedestal)=1600 N, Z backward (hanging)=1100 N, Y=1800 N, X=800 N; dynamic stiffness"
AT-BE220,Rubber BE shock absorber,"rubber mount, anti-shedding (E/EA interchangeable)",,,224.3,10±1.5,880,,70,105,150,,,Natural rubber / steel,,-30,80,40169990,18,NOS,1300,21,reference,img/mounts/BE.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.64-65; nominal load Z forward (pedestal)=2200 N, Z backward (hanging)=1500 N, Y=2400 N, X=1100 N; dynamic stiffnes"
AT-BE300,Rubber BE shock absorber,"rubber mount, anti-shedding (E/EA interchangeable)",,,305.8,10±1.5,1210,,75,115,155,,,Natural rubber / steel,,-30,80,40169990,18,NOS,1450,21,reference,img/mounts/BE.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.64-65; nominal load Z forward (pedestal)=3000 N, Z backward (hanging)=2000 N, Y=3300 N, X=1500 N; dynamic stiffnes"
AT-BE400,Rubber BE shock absorber,"rubber mount, anti-shedding (E/EA interchangeable)",,,407.7,10±1.5,1610,,80,120,175,,,Natural rubber / steel,,-30,80,40169990,18,NOS,1550,21,reference,img/mounts/BE.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.64-65; nominal load Z forward (pedestal)=4000 N, Z backward (hanging)=2800 N, Y=4300 N, X=1800 N; dynamic stiffnes"
AT-B1-1,Rubber B reinforced shock absorber,"small rubber mount (instruments, lamps)",,,0.5,15±2,,,62.2,32,32,,,Natural rubber / steel,,-30,80,40169990,18,NOS,500,21,reference,img/mounts/B.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.66; nominal load Z=4.5 N; static deformation at rated: ambient 1.2~2.0, low temp 0.9~2.0, high temp 1.2~2.3 mm; da"
AT-B1-2,Rubber B reinforced shock absorber,"small rubber mount (instruments, lamps)",,,0.9,15±2,,,62.2,32,32,,,Natural rubber / steel,,-30,80,40169990,18,NOS,500,21,reference,img/mounts/B.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.66; nominal load Z=9 N; static deformation at rated: ambient 1.2~2.0, low temp 0.9~2.0, high temp 1.2~2.3 mm; damp"
AT-B1-3,Rubber B reinforced shock absorber,"small rubber mount (instruments, lamps)",,,1.4,15±2,,,62.2,32,32,,,Natural rubber / steel,,-30,80,40169990,18,NOS,500,21,reference,img/mounts/B.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.66; nominal load Z=13.5 N; static deformation at rated: ambient 1.2~2.0, low temp 0.9~2.0, high temp 1.2~2.3 mm; d"
AT-B1-4,Rubber B reinforced shock absorber,"small rubber mount (instruments, lamps)",,,1.8,15±2,,,62.2,32,32,,,Natural rubber / steel,,-30,80,40169990,18,NOS,500,21,reference,img/mounts/B.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.66; nominal load Z=18 N; static deformation at rated: ambient 1.2~2.0, low temp 0.9~2.0, high temp 1.2~2.3 mm; dam"
AT-B1-5,Rubber B reinforced shock absorber,"small rubber mount (instruments, lamps)",,,2.3,15±2,,,62.2,32,32,,,Natural rubber / steel,,-30,80,40169990,18,NOS,500,21,reference,img/mounts/B.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.66; nominal load Z=22.5 N; static deformation at rated: ambient 1.2~2.0, low temp 0.9~2.0, high temp 1.2~2.3 mm; d"
AT-B2-4,Rubber B reinforced shock absorber,"small rubber mount (instruments, lamps)",,,1.8,15±2,,,89.5,45,45,,,Natural rubber / steel,,-30,80,40169990,18,NOS,550,21,reference,img/mounts/B.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.66; nominal load Z=18 N; static deformation at rated: ambient 1.2~2.0, low temp 0.9~2.0, high temp 1.2~2.3 mm; dam"
AT-B2-5,Rubber B reinforced shock absorber,"small rubber mount (instruments, lamps)",,,2.8,15±2,,,89.5,45,45,,,Natural rubber / steel,,-30,80,40169990,18,NOS,550,21,reference,img/mounts/B.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.66; nominal load Z=27 N; static deformation at rated: ambient 1.2~2.0, low temp 0.9~2.0, high temp 1.2~2.3 mm; dam"
AT-B2-6,Rubber B reinforced shock absorber,"small rubber mount (instruments, lamps)",,,3.7,15±2,,,89.5,45,45,,,Natural rubber / steel,,-30,80,40169990,18,NOS,550,21,reference,img/mounts/B.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.66; nominal load Z=36 N; static deformation at rated: ambient 1.2~2.0, low temp 0.9~2.0, high temp 1.2~2.3 mm; dam"
AT-B2-10,Rubber B reinforced shock absorber,"small rubber mount (instruments, lamps)",,,4.6,15±2,,,89.5,45,45,,,Natural rubber / steel,,-30,80,40169990,18,NOS,550,21,reference,img/mounts/B.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.66; nominal load Z=45 N; static deformation at rated: ambient 1.2~2.0, low temp 0.9~2.0, high temp 1.2~2.3 mm; dam"
AT-B2-12,Rubber B reinforced shock absorber,"small rubber mount (instruments, lamps)",,,5.5,15±2,,,89.5,45,45,,,Natural rubber / steel,,-30,80,40169990,18,NOS,550,21,reference,img/mounts/B.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.66; nominal load Z=54 N; static deformation at rated: ambient 1.2~2.0, low temp 0.9~2.0, high temp 1.2~2.3 mm; dam"
AT-B3-15,Rubber B reinforced shock absorber,"small rubber mount (instruments, lamps)",,,6.9,15±2,,,121,57,57,,,Natural rubber / steel,,-30,80,40169990,18,NOS,650,21,reference,img/mounts/B.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.66; nominal load Z=67.5 N; static deformation at rated: ambient 1.2~2.0, low temp 0.9~2.0, high temp 1.2~2.3 mm; d"
AT-B3-20,Rubber B reinforced shock absorber,"small rubber mount (instruments, lamps)",,,9.2,15±2,,,121,57,57,,,Natural rubber / steel,,-30,80,40169990,18,NOS,650,21,reference,img/mounts/B.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.66; nominal load Z=90 N; static deformation at rated: ambient 1.2~2.0, low temp 0.9~2.0, high temp 1.2~2.3 mm; dam"
AT-B3-25,Rubber B reinforced shock absorber,"small rubber mount (instruments, lamps)",,,11.5,15±2,,,121,57,57,,,Natural rubber / steel,,-30,80,40169990,18,NOS,650,21,reference,img/mounts/B.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.66; nominal load Z=112.5 N; static deformation at rated: ambient 1.2~2.0, low temp 0.9~2.0, high temp 1.2~2.3 mm; "
AT-B3-35,Rubber B reinforced shock absorber,"small rubber mount (instruments, lamps)",,,16.1,15±2,,,121,57,57,,,Natural rubber / steel,,-30,80,40169990,18,NOS,650,21,reference,img/mounts/B.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.66; nominal load Z=157.5 N; static deformation at rated: ambient 1.2~2.0, low temp 0.9~2.0, high temp 1.2~2.3 mm; "
AT-E10,Rubber E/EA shock absorber,"rubber mount, anti-shedding",,,10.2,28.5,330,,40,35,70,,,Natural rubber / steel,,-30,80,40169990,18,NOS,500,21,reference,img/mounts/E.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,cat p.67-68; nominal load Z=100 X=50 Y=100 N; static deformation 0.6±0.3 mm; dynamic stiffness Z/X/Y=330/350/500 N/mm; i
AT-E15,Rubber E/EA shock absorber,"rubber mount, anti-shedding",,,15.3,27,450,,40,40,70,,,Natural rubber / steel,,-30,80,40169990,18,NOS,500,21,reference,img/mounts/E.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,cat p.67-68; nominal load Z=150 X=100 Y=150 N; static deformation 0.7±0.3 mm; dynamic stiffness Z/X/Y=450/430/660 N/mm; 
AT-E25,Rubber E/EA shock absorber,"rubber mount, anti-shedding",,,25.5,27,750,,40,40,70,,,Natural rubber / steel,,-30,80,40169990,18,NOS,500,21,reference,img/mounts/E.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,cat p.67-68; nominal load Z=250 X=100 Y=250 N; static deformation 0.9±0.3 mm; dynamic stiffness Z/X/Y=750/690/880 N/mm; 
AT-EA25,Rubber E/EA shock absorber,"rubber mount, anti-shedding (EA: softer)",,,25.5,22,500,,40,48,70,,,Natural rubber / steel,,-30,80,40169990,18,NOS,500,21,reference,img/mounts/E.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,cat p.67-68; nominal load Z=250 X=100 Y=250 N; static deformation 1.0±0.4 mm; dynamic stiffness Z/X/Y=500/560/950 N/mm; 
AT-E40,Rubber E/EA shock absorber,"rubber mount, anti-shedding",,,40.8,28.5,1300,,46,55,85,,,Natural rubber / steel,,-30,80,40169990,18,NOS,550,21,reference,img/mounts/E.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,cat p.67-68; nominal load Z=400 X=150 Y=400 N; static deformation 0.7±0.3 mm; dynamic stiffness Z/X/Y=1300/740/1100 N/mm
AT-EA40,Rubber E/EA shock absorber,"rubber mount, anti-shedding (EA: softer)",,,40.8,23,870,,46,63,85,,,Natural rubber / steel,,-30,80,40169990,18,NOS,600,21,reference,img/mounts/E.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,cat p.67-68; nominal load Z=400 X=150 Y=400 N; static deformation 1.2±0.4 mm; dynamic stiffness Z/X/Y=870/800/1000 N/mm;
AT-E60,Rubber E/EA shock absorber,"rubber mount, anti-shedding",,,61.2,25.5,1600,,50,65,100,,,Natural rubber / steel,,-30,80,40169990,18,NOS,600,21,reference,img/mounts/E.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,cat p.67-68; nominal load Z=600 X=250 Y=600 N; static deformation 0.7±0.3 mm; dynamic stiffness Z/X/Y=1600/900/1400 N/mm
AT-EA60,Rubber E/EA shock absorber,"rubber mount, anti-shedding (EA: softer)",,,61.2,25,1500,,50,73,100,,,Natural rubber / steel,,-30,80,40169990,18,NOS,650,21,reference,img/mounts/E.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,cat p.67-68; nominal load Z=600 X=250 Y=600 N; static deformation 1.2±0.4 mm; dynamic stiffness Z/X/Y=1500/900/1900 N/mm
AT-E85,Rubber E/EA shock absorber,"rubber mount, anti-shedding",,,86.6,24,2000,,60,70,120,,,Natural rubber / steel,,-30,80,40169990,18,NOS,700,21,reference,img/mounts/E.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,cat p.67-68; nominal load Z=850 X=350 Y=850 N; static deformation 0.6±0.3 mm; dynamic stiffness Z/X/Y=2000/1000/1900 N/m
AT-EA85,Rubber E/EA shock absorber,"rubber mount, anti-shedding (EA: softer)",,,86.6,23,1850,,60,80,120,,,Natural rubber / steel,,-30,80,40169990,18,NOS,750,21,reference,img/mounts/E.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,cat p.67-68; nominal load Z=850 X=350 Y=850 N; static deformation 1.0±0.4 mm; dynamic stiffness Z/X/Y=1850/1000/2100 N/m
AT-E120,Rubber E/EA shock absorber,"rubber mount, anti-shedding",,,122.3,23,2500,,60,85,140,,,Natural rubber / steel,,-30,80,40169990,18,NOS,1050,21,reference,img/mounts/E.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,cat p.67-68; nominal load Z=1200 X=500 Y=1100 N; static deformation 0.9±0.3 mm; dynamic stiffness Z/X/Y=2500/1100/2100 N
AT-EA120,Rubber E/EA shock absorber,"rubber mount, anti-shedding (EA: softer)",,,122.3,18,1530,,60,101,140,,,Natural rubber / steel,,-30,80,40169990,18,NOS,1200,21,reference,img/mounts/E.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,cat p.67-68; nominal load Z=1200 X=500 Y=1100 N; static deformation 1.5±0.4 mm; dynamic stiffness Z/X/Y=1530/800/1700 N/
AT-E160,Rubber E/EA shock absorber,"rubber mount, anti-shedding",,,163.1,29,5500,,60,108,145,,,Natural rubber / steel,,-30,80,40169990,18,NOS,1250,21,reference,img/mounts/E.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,cat p.67-68; nominal load Z=1600 X=700 Y=1500 N; static deformation 0.6±0.3 mm; dynamic stiffness Z/X/Y=5500/1400/2800 N
AT-EA160,Rubber E/EA shock absorber,"rubber mount, anti-shedding (EA: softer)",,,163.1,25,4000,,60,108,145,,,Natural rubber / steel,,-30,80,40169990,18,NOS,1250,21,reference,img/mounts/E.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,cat p.67-68; nominal load Z=1600 X=700 Y=1500 N; static deformation 1.0±0.4 mm; dynamic stiffness Z/X/Y=4000/1150/2450 N
